device_on_flag,energy,frequency,id,power_current,power_max,reset_counter,time_on,time_total
1,106617,868184000,7ade,0.6,0.8,0,159382,159383
1,106620,868184000,7ade,0.6,0.8,0,159387,159388
1,106623,868184000,7ade,0.6,0.8,0,159392,159393
1,106626,868184000,7ade,0.6,0.8,0,159397,159398
1,106629,868184000,7ade,0.6,0.8,0,159402,159403
1,106632,868184000,7ade,0.6,0.8,0,159407,159408
1,106635,868184000,7ade,0.6,0.8,0,159412,159413
1,106638,868184000,7ade,0.6,0.8,0,159417,159418
1,106641,868184000,7ade,0.6,0.8,0,159422,159423
1,106644,868184000,7ade,0.6,0.8,0,159427,159428
1,106647,868184000,7ade,0.6,0.8,0,159432,159433
1,106650,868184000,7ade,0.6,0.8,0,159437,159438
1,106653,868184000,7ade,0.6,0.8,0,159442,159443
1,106656,868184000,7ade,0.6,0.8,0,159447,159448
1,106662,868184000,7ade,0.7,0.8,0,159457,159458
1,106665,868184000,7ade,0.6,0.8,0,159462,159463
1,106668,868184000,7ade,0.6,0.8,0,159467,159468
1,106671,868184000,7ade,0.6,0.8,0,159472,159473
1,106674,868184000,7ade,0.6,0.8,0,159477,159478
1,106677,868184000,7ade,0.6,0.8,0,159482,159483
1,106683,868184000,7ade,0.6,0.8,0,159492,159493
1,106686,868184000,7ade,0.6,0.8,0,159497,159498
1,106689,868184000,7ade,0.6,0.8,0,159502,159503
1,106692,868184000,7ade,0.6,0.8,0,159507,159508
1,106695,868184000,7ade,0.6,0.8,0,159512,159513
1,106698,868184000,7ade,0.6,0.8,0,159517,159518
1,106701,868184000,7ade,0.6,0.8,0,159522,159523
1,106704,868184000,7ade,0.6,0.8,0,159527,159528
1,106707,868184000,7ade,0.6,0.8,0,159532,159533
1,106710,868184000,7ade,0.6,0.8,0,159537,159538
1,106713,868184000,7ade,0.6,0.8,0,159542,159543
1,106716,868184000,7ade,0.6,0.8,0,159547,159548
1,106719,868184000,7ade,0.6,0.8,0,159552,159553
1,106722,868184000,7ade,0.6,0.8,0,159557,159558
1,106725,868184000,7ade,0.6,0.8,0,159562,159563
1,106728,868184000,7ade,0.6,0.8,0,159567,159568
1,106731,868184000,7ade,0.6,0.8,0,159572,159573
1,106734,868184000,7ade,0.7,0.8,0,159577,159578
1,106737,868184000,7ade,0.6,0.8,0,159582,159583
1,106740,868184000,7ade,0.6,0.8,0,159587,159588
1,106743,868184000,7ade,0.6,0.8,0,159592,159593
1,106761,868185000,7ade,0.6,0.8,0,159622,159623
1,106764,868185000,7ade,0.6,0.8,0,159627,159628
1,106767,868185000,7ade,0.6,0.8,0,159632,159633
1,106771,868185000,7ade,0.6,0.8,0,159637,159638
1,106774,868185000,7ade,0.6,0.8,0,159642,159643
1,106777,868185000,7ade,0.6,0.8,0,159647,159648
1,106780,868185000,7ade,0.6,0.8,0,159652,159653
1,106783,868185000,7ade,0.6,0.8,0,159657,159658
1,106786,868185000,7ade,0.6,0.8,0,159662,159663
1,106789,868185000,7ade,0.6,0.8,0,159667,159668
1,106792,868185000,7ade,0.6,0.8,0,159672,159673
1,106795,868185000,7ade,0.6,0.8,0,159677,159678
1,106798,868185000,7ade,0.6,0.8,0,159682,159683
1,106801,868185000,7ade,0.6,0.8,0,159687,159688
1,106804,868185000,7ade,0.6,0.8,0,159692,159693
1,106807,868185000,7ade,0.6,0.8,0,159697,159698
1,106810,868185000,7ade,0.6,0.8,0,159702,159703
1,106813,868185000,7ade,0.6,0.8,0,159707,159708
1,106816,868185000,7ade,0.6,0.8,0,159712,159713
1,106819,868185000,7ade,0.6,0.8,0,159717,159718
1,106822,868185000,7ade,0.6,0.8,0,159722,159723
1,106825,868185000,7ade,0.6,0.8,0,159727,159728
1,106828,868185000,7ade,0.6,0.8,0,159732,159733
1,106831,868185000,7ade,0.6,0.8,0,159737,159738
1,106834,868185000,7ade,0.6,0.8,0,159742,159743
1,106837,868185000,7ade,0.6,0.8,0,159747,159748
1,106840,868185000,7ade,0.6,0.8,0,159752,159753
1,106843,868185000,7ade,0.6,0.8,0,159757,159758
1,106846,868185000,7ade,0.6,0.8,0,159762,159763
1,106849,868185000,7ade,0.6,0.8,0,159767,159768
1,106852,868185000,7ade,0.6,0.8,0,159772,159773
1,106855,868185000,7ade,0.6,0.8,0,159777,159778
1,106861,868185000,7ade,0.6,0.8,0,159787,159788
1,106864,868185000,7ade,0.6,0.8,0,159792,159793
1,106867,868185000,7ade,0.6,0.8,0,159797,159798
1,106870,868185000,7ade,0.6,0.8,0,159802,159803
1,106873,868185000,7ade,0.6,0.8,0,159807,159808
1,106876,868185000,7ade,0.7,0.8,0,159812,159813
1,106879,868185000,7ade,0.6,0.8,0,159817,159818
1,106885,868185000,7ade,0.6,0.8,0,159827,159828
1,106889,868185000,7ade,0.7,0.8,0,159832,159833
1,106892,868185000,7ade,0.6,0.8,0,159837,159838
1,106895,868185000,7ade,0.6,0.8,0,159842,159843
1,106898,868185000,7ade,0.6,0.8,0,159847,159848
1,106901,868185000,7ade,0.6,0.8,0,159852,159853
1,106904,868185000,7ade,0.6,0.8,0,159857,159858
1,106907,868185000,7ade,0.6,0.8,0,159862,159863
1,106910,868185000,7ade,0.6,0.8,0,159867,159868
1,106913,868185000,7ade,0.6,0.8,0,159872,159873
1,106916,868185000,7ade,0.6,0.8,0,159877,159878
1,106919,868185000,7ade,0.6,0.8,0,159882,159883
1,106922,868185000,7ade,0.6,0.8,0,159887,159888
1,106925,868185000,7ade,0.6,0.8,0,159892,159893
1,106937,868186000,7ade,0.6,0.8,0,159912,159913
1,106941,868186000,7ade,0.6,0.8,0,159917,159918
1,106947,868186000,7ade,0.6,0.8,0,159927,159928
1,106953,868186000,7ade,0.6,0.8,0,159937,159938
1,106959,868186000,7ade,0.6,0.8,0,159947,159948
1,106962,868186000,7ade,0.6,0.8,0,159952,159953
1,106968,868186000,7ade,0.6,0.8,0,159962,159963
1,106971,868186000,7ade,0.6,0.8,0,159967,159968
1,106974,868186000,7ade,0.6,0.8,0,159972,159973
1,106977,868186000,7ade,0.6,0.8,0,159977,159978
1,106980,868186000,7ade,0.6,0.8,0,159982,159983
1,106983,868186000,7ade,0.6,0.8,0,159987,159988
1,106986,868186000,7ade,0.6,0.8,0,159992,159993
1,106989,868186000,7ade,0.6,0.8,0,159997,159998
1,106992,868186000,7ade,0.6,0.8,0,160002,160003
1,107001,868186000,7ade,0.6,0.8,0,160017,160018
1,107007,868186000,7ade,0.6,0.8,0,160027,160028
1,107010,868186000,7ade,0.6,0.8,0,160032,160033
1,107022,868186000,7ade,0.6,0.8,0,160052,160053
1,107025,868186000,7ade,0.6,0.8,0,160057,160058
1,107031,868186000,7ade,0.6,0.8,0,160067,160068
1,107034,868186000,7ade,0.6,0.8,0,160072,160073
1,107037,868186000,7ade,0.6,0.8,0,160077,160078
1,107040,868186000,7ade,0.6,0.8,0,160082,160083
1,107043,868186000,7ade,0.6,0.8,0,160087,160088
1,107049,868186000,7ade,0.6,0.8,0,160097,160098
1,107052,868186000,7ade,0.6,0.8,0,160102,160103
1,107055,868186000,7ade,0.6,0.8,0,160107,160108
1,107061,868186000,7ade,0.6,0.8,0,160117,160118
1,107067,868186000,7ade,0.6,0.8,0,160127,160128
1,107070,868186000,7ade,0.6,0.8,0,160132,160133
1,107073,868186000,7ade,0.6,0.8,0,160137,160138
1,107076,868186000,7ade,0.7,0.8,0,160142,160143
1,107080,868186000,7ade,0.6,0.8,0,160147,160148
1,107083,868186000,7ade,0.6,0.8,0,160152,160153
1,107086,868186000,7ade,0.6,0.8,0,160157,160158
1,107089,868186000,7ade,0.6,0.8,0,160162,160163
1,107092,868186000,7ade,0.6,0.8,0,160167,160168
1,107095,868186000,7ade,0.6,0.8,0,160172,160173
1,107098,868186000,7ade,0.6,0.8,0,160177,160178
1,107104,868186000,7ade,0.6,0.8,0,160187,160188
1,107107,868186000,7ade,0.6,0.8,0,160192,160193
1,107122,868187000,7ade,0.6,0.8,0,160217,160218
1,107128,868187000,7ade,0.6,0.8,0,160227,160228
1,107143,868187000,7ade,0.6,0.8,0,160252,160253
1,107158,868187000,7ade,0.6,0.8,0,160277,160278
1,107179,868187000,7ade,0.6,0.8,0,160312,160313
1,107182,868187000,7ade,0.6,0.8,0,160317,160318
1,107185,868187000,7ade,0.6,0.8,0,160322,160323
1,107191,868187000,7ade,0.6,0.8,0,160332,160333
1,107194,868187000,7ade,0.6,0.8,0,160337,160338
1,107203,868187000,7ade,0.6,0.8,0,160352,160353
1,107224,868187000,7ade,0.6,0.8,0,160387,160388
1,107233,868187000,7ade,0.6,0.8,0,160402,160403
1,107236,868187000,7ade,0.6,0.8,0,160407,160408
1,107251,868187000,7ade,0.6,0.8,0,160432,160433
1,107255,868187000,7ade,0.6,0.8,0,160437,160438
1,107270,868187000,7ade,0.6,0.8,0,160462,160463
1,107285,868187000,7ade,0.6,0.8,0,160487,160488
1,107396,868188000,7ade,0.6,0.8,0,160667,160668
1,107408,868188000,7ade,0.7,0.8,0,160687,160688
1,107446,868188000,7ade,0.6,0.8,0,160747,160748
1,550887786,868193000,79fd,0.2,1762.6,1,3632963,4755703
